08/08-17:00:41.971709 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;91.189.91.13;80;10.5.1.104;49303;00:10:18:72:00:3C;68:5B:35:91:F5:61;0x5EA;***A****;0x35D2E331;0x1DC4FFE7;;0x124;44;0;7316;1500;225300
08/08-17:00:41.972457 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;91.189.91.13;80;10.5.1.104;49303;00:10:18:72:00:3C;68:5B:35:91:F5:61;0x5EA;***A****;0x35D2F9D1;0x1DC4FFE7;;0x124;44;0;7320;1500;225300
08/08-17:00:42.111734 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;91.189.91.13;80;10.5.1.104;49303;00:10:18:72:00:3C;68:5B:35:91:F5:61;0x5EA;***A****;0x35D39831;0x1DC4FFE7;;0x124;44;0;7348;1500;225300
08/08-17:00:42.593866 ;1;1917;6;SCAN UPnP service discover attempt;UDP;10.5.1.108;56279;239.255.255.250;1900;40:6C:8F:37:7E:DB;01:00:5E:7F:FF:FA;0xCC;;;;;;1;0;58407;190;194560
08/08-17:00:42.963543 ;1;2570;7;WEB-MISC Invalid HTTP Version String;TCP;10.5.1.104;49303;91.189.91.13;80;68:5B:35:91:F5:61;00:10:18:72:00:3C;0xEB;***AP***;0x1DC4FFE7;0x35D8BF2A;;0x2000;64;0;65287;221;226304
08/08-17:00:43.034725 ;1;2570;7;WEB-MISC Invalid HTTP Version String;TCP;10.5.1.104;49303;91.189.91.13;80;68:5B:35:91:F5:61;00:10:18:72:00:3C;0xE3;***AP***;0x1DC50090;0x35D8E336;;0x2000;64;0;59928;213;218112
08/08-17:00:43.252162 ;1;2570;7;WEB-MISC Invalid HTTP Version String;TCP;10.5.1.104;49303;91.189.91.13;80;68:5B:35:91:F5:61;00:10:18:72:00:3C;0xDB;***AP***;0x1DC50131;0x35DA08A6;;0x2000;64;0;9386;205;209920
08/08-17:00:43.750762 ;1;2570;7;WEB-MISC Invalid HTTP Version String;TCP;10.5.1.104;49303;91.189.91.13;80;68:5B:35:91:F5:61;00:10:18:72:00:3C;0xE6;***AP***;0x1DC501CA;0x35DCC3B1;;0x2000;64;0;10266;216;221184
08/08-17:00:43.824736 ;1;2570;7;WEB-MISC Invalid HTTP Version String;TCP;10.5.1.104;49303;91.189.91.13;80;68:5B:35:91:F5:61;00:10:18:72:00:3C;0xD7;***AP***;0x1DC5026E;0x35DD1170;;0x2000;64;0;63630;201;205824
08/08-17:00:44.181558 ;1;2570;7;WEB-MISC Invalid HTTP Version String;TCP;10.5.1.104;49303;91.189.91.13;80;68:5B:35:91:F5:61;00:10:18:72:00:3C;0xE1;***AP***;0x1DC50303;0x35DEA399;;0x2000;64;0;17268;211;216064
08/08-17:00:44.209146 ;1;1917;6;SCAN UPnP service discover attempt;UDP;10.5.1.108;56279;239.255.255.250;1900;40:6C:8F:37:7E:DB;01:00:5E:7F:FF:FA;0xCC;;;;;;1;0;17440;190;194560
08/08-17:00:45.091684 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;91.189.91.13;80;10.5.1.104;49303;00:10:18:72:00:3C;68:5B:35:91:F5:61;0x5EA;***A****;0x35E1C121;0x1DC503A2;;0x13D;44;0;7998;1500;225300
08/08-17:00:45.129076 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;69.16.175.10;80;10.5.1.110;41139;00:10:18:72:00:3C;4C:72:B9:24:40:D3;0x5EA;***A****;0xC61956C6;0x36D6C425;;0x1F;51;0;30054;1500;225300
08/08-17:00:46.429627 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;91.189.91.13;80;10.5.1.104;49303;00:10:18:72:00:3C;68:5B:35:91:F5:61;0x5EA;***A****;0x35EDA9D9;0x1DC503A2;;0x13D;44;0;8555;1500;225300
08/08-17:00:46.493589 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;91.189.91.13;80;10.5.1.104;49303;00:10:18:72:00:3C;68:5B:35:91:F5:61;0x5EA;***A****;0x35EE3199;0x1DC503A2;;0x13D;44;0;8579;1500;225300
08/08-17:00:46.992569 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;91.189.91.13;80;10.5.1.104;49303;00:10:18:72:00:3C;68:5B:35:91:F5:61;0x5EA;***A****;0x35F34689;0x1DC503A2;;0x13D;44;0;8811;1500;225300
08/08-17:00:47.563829 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;91.189.91.13;80;10.5.1.104;49303;00:10:18:72:00:3C;68:5B:35:91:F5:61;0x5EA;***A****;0x35F7AC21;0x1DC503A2;;0x13D;44;0;9019;1500;225300
08/08-17:00:47.569932 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;91.189.91.13;80;10.5.1.104;49303;00:10:18:72:00:3C;68:5B:35:91:F5:61;0x5EA;***A****;0x35F7FB51;0x1DC503A2;;0x13D;44;0;9033;1500;225300
08/08-17:00:48.336258 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;91.189.91.13;80;10.5.1.104;49303;00:10:18:72:00:3C;68:5B:35:91:F5:61;0x5EA;***A****;0x35FE9689;0x1DC503A2;;0x13D;44;0;9332;1500;225300
08/08-17:00:50.648326 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;91.189.91.13;80;10.5.1.104;49303;00:10:18:72:00:3C;68:5B:35:91:F5:61;0x5EA;***A****;0x360CC5D9;0x1DC503A2;;0x13D;44;0;9978;1500;225300
08/08-17:00:51.278584 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;91.189.91.13;80;10.5.1.104;49303;00:10:18:72:00:3C;68:5B:35:91:F5:61;0x5EA;***A****;0x361125C9;0x1DC503A2;;0x13D;44;0;10176;1500;225300
08/08-17:00:53.448215 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;91.189.91.13;80;10.5.1.104;49303;00:10:18:72:00:3C;68:5B:35:91:F5:61;0x5EA;***A****;0x361CC4F9;0x1DC503A2;;0x13D;44;0;10705;1500;225300
08/08-17:00:53.588539 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;91.189.91.13;80;10.5.1.104;49303;00:10:18:72:00:3C;68:5B:35:91:F5:61;0x5EA;***A****;0x361DBDD9;0x1DC503A2;;0x13D;44;0;10749;1500;225300
08/08-17:00:54.144710 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;91.189.91.13;80;10.5.1.104;49303;00:10:18:72:00:3C;68:5B:35:91:F5:61;0x5EA;***A****;0x362102F9;0x1DC503A2;;0x13D;44;0;10897;1500;225300
08/08-17:00:55.276625 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;91.189.91.13;80;10.5.1.104;49303;00:10:18:72:00:3C;68:5B:35:91:F5:61;0x5EA;***A****;0x36253001;0x1DC503A2;;0x13D;44;0;11087;1500;225300
